userid,departmentid
59659974,21838136
7477945,32963474
7991391,25151944
5240380,14763386
5221617,1471820
5147958,10779382
21048106,65697302
25697000,27018457
9238695,26653184
66497754,31621457
27968600,21313791
28205395,22855689
27178491,27178292
26202868,25160184
5227733,5236861
5221515,10771660
5196260,5228097
5181440,955699
5159008,10780183
9019547,26527711
14936021,24642881
54143320,12744597
59224983,316437
5188718,5388870
25163526,16980771
27148718,26547290
28103275,21576520
5218431,14763293
65205236,5236971
4167512,21720047
7817431,22593565
5144637,10779933
9605026,25162091
13579285,21572328
3589177,24642630
2512798,7863486
7546725,29662655
5233614,52326241
5224378,5242146
10299353,14143296
66749792,29225263
25428062,28561792
5212813,7559946
25644376,27193652
1118042,59247825
57202278,5158801
10206213,32861949
29661032,26542114
64711438,17656485
24277746,66107719
27164155,26624425
6912957,29571900
59388727,16281051
7106692,24647801
25361119,21720047
32520248,28044031
51499915,64343954
32841895,26549570
5230548,14763291
58655862,29271782
5146659,7921381
21855006,12976244
5232740,4139031
27174197,21576520
21840715,21841972
5221444,65204975
55156263,7694854
64634572,10772468
62130679,24441339
61901271,30993854
27408675,19876034
25227106,21682000
5209014,32928819
5220479,10769279
26894166,28520415
50628013,57346743
21721008,21729820
21838074,21863260
26540891,26540892
27117538,32477103
25442700,3827163
32829962,27243820
29757024,25151327
3374619,28456771
5229834,15542592
5232010,2839914
5155010,52638966
52601263,26539612
54862499,28373708
5223861,10780353
27120468,26630541
65051425,52326241
21835259,12744621
33410464,17684139
21554496,25160010
21300431,25160977
27326579,21863066
27484453,1718736
21314709,25150701
28470988,3631741
27246195,28528728
26615992,26641848
33420626,17656036
24432334,24158494
24850409,24149776
28456661,23838771
27087959,24648596
21294199,25161076
26549526,26580286
21525473,22869528
32965748,3296218
24429949,24146076
24428845,17734844
27407516,17734844
32555936,32547992
26533206,25160065
32990814,28782352
22382329,17156734
26362511,50676663
21846135,25165417
27218715,17656742
27078111,24262633
27733362,25164283
28536086,24979176
26549475,26549476
21295350,21719660
24431955,15387402
26632655,25151917
24429463,24442179
27536627,21287195
25165262,17803075
33410918,32966358
21847080,22861438
27176138,26541410
21847697,21638426
24441781,15387817
21067103,21843550
27077657,24562877
27485603,25152750
26507858,28767364
26547930,26547931
26540006,26540007
26786541,26929271
25161022,25161400
24144211,24366319
21299810,24647771
33410904,25667588
24431058,24148769
27513150,21834552
25812737,25812738
26539301,24858316
22734303,22734272
21841834,24642020
23283354,24648570
24441140,58411966
24406666,24441699
32938935,21275418
21842698,21843692
23353846,25163566
32966625,26556541
25157309,25157310
25947321,26541023
25670760,21764519
17657055,13635593
21823347,21839913
25295592,52677782
32591085,23895342
32858649,26610396
27418384,21840746
25157464,25153385
25217711,26886565
32860235,26616126
31735017,21838200
21860516,26538574
28392939,21852724
27356091,54867900
20979382,20979383
27321370,15387903
27067604,15297660
26442129,19633239
25160816,25161188
27073746,15297640
22860979,22862146
27078380,27949376
27075687,5930808
25462919,6245423
21845499,21843439
26539799,6290188
21724197,21724198
21834867,21852755
32557651,26546702
25216722,27531168
25162930,24642409
23353857,25163726
25146833,24649324
27508348,21862824
33183557,21838556
25162522,25162523
21622675,21638415
27196756,53977028
27235722,26507630
21288909,25150701
27370113,19876045
21852370,27051252
26759497,26513709
23835734,23835735
24147741,24149776
27196970,26914726
17656037,17138706
26951635,23627830
27041886,21293271
25162269,25163517
27183116,25151459
21841093,21729829
27187198,26548082
28111153,24146088
24431787,23755042
25152616,24647027
25685322,9998283
27078024,26327217
28456238,21851264
22266427,25159393
32548809,29520295
22114621,25162730
25158520,24649296
21748990,21748991
21839786,24954364
27577701,21311332
26355131,22518835
26322804,21593218
25222775,26953430
25442381,52207468
31006467,21800420
29566358,21843530
29912170,26648076
4193072,24285459
2429314,26385160
2731066,26554849
7571158,17194556
7523281,31112937
7415650,4091252
6995539,6995540
5389366,25152866
5236207,6082861
5235797,6907453
5235127,6082861
5242748,5234983
5242865,5242866
5241867,13887196
5241033,54777499
5240331,15377365
5230029,32247110
5229959,5230208
5229642,6085276
5228034,6082861
5232691,10778994
5231796,10780160
5220816,10778993
5219799,66176470
5224033,14763277
5223309,13887197
5190549,5190550
5180839,21561250
5147221,14547910
5152693,10778962
9359058,6452180
12736514,32511676
51567065,52678233
57346542,26532149
21822354,29852154
21763400,21833726
25608517,13635594
33414460,22311862
5236332,1028721
5234901,5236654
5241915,4098783
5231749,5241459
5220781,10772238
12581853,14092867
32844336,32957507
3605525,24285459
1330586,10772271
1597116,14636418
1919808,14321797
4758161,26484379
4727558,50598609
5235363,5236809
5241881,10772467
5232596,10779284
5202223,52276804
5197279,50598615
5152356,6538124
14492480,25239551
56978852,7195370
59245422,5172226
21830460,25160246
10206232,21730057
5147274,13635594
4623784,57958861
3853823,17325536
5236667,58290441
2007283,21843595
15035241,26539587
5236307,15137022
25611862,27403410
27153602,26541760
32561487,21518850
1829306,59247861
7067899,61892410
5241760,7396079
5229668,10780351
5232400,5240028
5152509,14763367
54777585,26964321
62533078,17186991
60076456,14763367
8511477,13635593
5232316,7179864
27139312,21505375
27074857,26542517
31004183,21799984
30957618,26531360
30099744,29976246
30231254,24642238
2238069,52678312
7598106,17742675
8324205,25157486
7062962,10780323
4556178,29784263
5237439,5237408
5239643,5239644
5239343,10772271
5228357,5237643
5227354,10779308
5220000,5237171
5218352,5229200
5212523,5987213
5217228,25955907
5171922,5236263
5152181,5152182
16040332,32861949
15436775,15436776
56156091,26621440
55233756,13635592
62239821,26643332
62533082,27302568
60076479,15297641
66098421,4080833
66835957,27295814
65204844,32860866
21730199,21730200
21643167,24657868
26631215,21605541
27051101,5853802
32654507,25165778
32909608,16788165
31389068,21320652
6491977,21847249
5232564,57878352
5219950,7524193
5202923,6010382
5148412,21276415
9499260,5237530
13439714,21686686
52623370,26054075
52743206,52743207
59222266,21852719
27246547,26542042
4383507,31594037
5230255,14763292
5219143,14763315
5224742,15203676
58226353,18037911
30941437,17803075
4759534,52678325
5228323,5228097
21313902,21313791
27191953,25151944
1504215,21847878
6058235,21847878
5226872,50612385
5232567,5227052
5223433,10780350
5171945,5236987
5153253,12744334
12393678,3330683
15443982,5970282
57747368,50935167
66235514,21755077
24432994,29469747
66099735,66099736
21839601,24954364
24627932,24441513
26549517,28752198
5230517,10772287
66081693,33382188
65374738,56748856
65880695,14769176
27175842,26547290
4725927,21851521
26965943,28752198
29448512,24442005
7911280,1644864
14976584,27295814
6654407,15297921
14936044,25162558
15443977,5970282
4734430,18037911
64711523,21502414
8126435,16815559
28356441,28451947
27984285,28451947
4731945,23646778
25248233,19876057
4751837,59247867
4742743,19876045
5219777,1004698
66750289,5234960
27224508,26646046
14474862,13635593
64176092,10779991
11282221,21682000
2907351,21381286
27067416,26499824
4748709,21837196
58213527,21523506
27045484,27184029
30480237,27196972
57413243,24649324
8765142,8765134
25661617,26549421
29944093,21308869
1074566,14345508
6843181,22714993
5234334,7559946
54144281,28505328
25152222,50511894
25151928,24646675
23841849,23841850
21862951,21862952
28445764,54856126
27861750,55204126
26632667,24347260
26542209,25053735
27225341,26540308
27131159,26539134
25465397,27192538
30599973,4788017
5212577,10779994
10311101,5210946
57027457,51567063
59582479,26530969
5227326,10780168
5183972,10780278
27869222,61065345
28688858,28688859
27157260,28688859
27175277,25160010
21846446,24414400
24147857,3607311
29357756,21843667
25159879,25159880
32548348,24185611
32973722,21308114
21835708,21842244
21862599,21862734
27685634,57958859
28502802,21266203
24430444,24158494
24430354,24148130
21636596,21636835
24417111,17138706
26610068,24441339
25377210,29188188
27000362,28044031
21639004,24857835
23745491,17002381
21294849,29784263
26639111,30312513
21822152,24131436
24430581,24146076
21636796,21738874
26623288,25161437
24302327,24302328
24147521,24147522
28545896,24823710
28374788,21246057
27245735,24148954
27045886,26616160
21635965,21638496
27676333,27676334
24810371,15297352
24960992,24960993
25305764,26623285
28175719,21861092
33419304,32966358
27195156,27195157
26595822,21844877
24646598,24642552
21312544,25152234
32929217,26929147
33410181,33410182
21623619,11430783
21833850,21424066
27001754,24198195
23206303,24432567
28290429,24849319
32865536,12578272
25160715,6341487
21635444,21729477
21301008,25152253
21851700,21862975
23941719,25153141
32964121,32964122
28462662,3356808
27190657,26912140
32856990,10517456
28423778,21839890
21584795,21572127
25859776,26556541
26647924,26647925
29216728,29216729
17617822,13635595
21305653,13635593
21852379,13635593
21847737,13635593
21773523,13635593
28142653,13635593
27362722,21852193
27787983,25165382
26547289,26547290
33414443,21247623
33433338,26641489
27060830,27060831
32892123,21843570
24062602,23750129
22167457,25163277
27129692,4752117
21293295,17571403
32860538,26616126
32555586,19875896
21862982,3394228
27107572,52678219
21282660,21395485
25643119,26495205
26529073,26539730
26621471,17655292
21198865,17742675
32859754,12578303
26641550,4882349
17655979,17656079
17654791,17656079
24252905,17656079
21303393,17656079
32595018,17656079
27081902,25151944
